RENTAL (y/n/partial),MAX GROUP,MIN SPEND / DEPOSIT,NOTES,campus,name,type,phone,email,website,takes reservations,site mentions events,events page,site says,chain,current capacity,hours,look up,id
,,,,columbia,Fumo,restaurant,+1-646-822-2921,,https://www.fumorestaurant.com/location/fumo-upper-west-side/,,yes,,y Upper East Side Upper West Side Uncle Tony's Pizza Harlem Private Events Catering sub-menu Catering Order Catering (Not Tax-Exempt),,,Su-Th 11:00-22:00; Fr-Sa 11:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.80281,-73.96805",fumo
,,,,columbia,Benny’s Chao King,restaurant,+1-212-364-3790;+1-212-364-3793,,,no,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.7983,-73.9638",bennys-chao-king
,,,,columbia,Silvana,restaurant,+1 646-692-4935,,silvana-nyc.com,yes,,,,,,"08:00-22:00 open ""Cafe"" || 16:00-04:00 open ""Bar""","https://www.google.com/maps/search/?api=1&query=40.80443,-73.9559",silvana
,,,,columbia,Alke Café,restaurant,+1 646-360-3920,contact@AlkeCafe.co,https://www.alkecafe.co/,,,https://siteassets.parastorage.com/pages/pages/thunderbolt?appDefinitionIdToSiteRevision=%7B%22d90652a2-f5a1-4c7c-84c4-d4cdcc41f130%22%3A%229292%22%2C%22b976560c-3122-4351-878f-453f337b7245%22%3A%221358%22%2C%2214271d6f-ba62-d045-549b-ab972ae1f70e%22%3A%2225%22%7D&beckyExperiments=.DatePickerPortal%2C.DisableDocumentScrollWhenLightBoxOpen%2C.EnableCustomCSSVarsForLoginSocialBar%2C.FreemiumBannerOdeditor%2C.LoginBarEnableLoggingInStateInSSR%2C.TextInputAutoFillFix%2C.UseLoginSocialBarCustomMenu%2C.UseNestedLoginSocialBarMenuItems%2C.UseNewLoginBarDropdownMenuAlignment%2C.UseNewLoginSocialBarElementStructure%2C.UseNewLoginSocialBarMemberInitialsAvatar%2C.WixFreeSiteBannerDesktop%2C.WixFreeSiteBannerMobile%2C.a11yContrast%2C.addIdAsClassName%2C.allowWebpAvifTransforms%2C.builderBoxSizingBorderBox%2C.buttonUdp%2C.calculateCollapsibleTextLineHeightByFont%2C.dom_store%2C.dontApplyDacOverridesOnBoBApps%2C.dynamicSlots%2C.fiveGridLineStudioSkins%2C.fixFirefoxLinkBarIntrinsicSizing%2C.fixRemappedFullNameCompType%2C.imageEncodingAVIF%2C.isClassNameToRootEnabled%2C.motionTimeAnimationsCSS%2C.responsiveContainerRoleGroup%2C.sectionA11yProps%2C.shouldIgnoreWidgetsPageData%2C.shouldUseResponsiveImages%2C.svgResolver_2%2C.updateRichTextSemanticClassNamesOnCorvid%2C.useClassnameInResponsiveAppWidget%2C.useFragmentHrefForTopBottomAnchor%2C.useImageAvifFormatInNativeProGallery%2C.useResponsiveImgClassicFixed%2C.useSvgLoaderFeature%2C.useSvgLoaderFeatureOnBuilderComps%2C.useWowImageInFastGallery&blocksBuilderManifestGeneratorVersion=1.129.0&contentType=application%2Fjson&deviceType=Other&dfCk=6&dfVersion=1.5507.0&disableStaticPagesUrlHierarchy=false&editorName=Studio&experiments=dm_bgScrubToMotionFixer%2Cdm_masterPageVariablesQueryFixer%2Cdm_migrateOldHoverBoxToNewFixer&externalBaseUrl=https%3A%2F%2Fwww.alkecafe.co&fileId=5166e0cd.bundle.min&formFactor=desktop&hasTPAWorkerOnSite=false&hasUserDomainMedia=false&isBuilderComponentModel=false&isHttps=true&isInSeo=false&isMultilingualEnabled=false&isPremiumDomain=true&isResponsive=true&isTrackClicksAnalyticsEnabled=false&isUrlMigrated=true&isWixCodeOnPage=false&isWixCodeOnSite=false&language=en&languageResolutionMethod=QueryParam&metaSiteId=7c76ecdf-50ca-4bff-8040-786362c5e95d&module=thunderbolt-features&originalLanguage=en&pageId=73fde1_8d854209f9bcc016a8b35eed3cccb43e_122.json&pilerExperiments=specs.piler.useEditorReactComponents&quickActionsMenuEnabled=false&registryLibrariesTopology=%5B%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22wixui%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15349.0%22%7D%2C%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22dsgnsys%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15349.0%22%7D%5D&remoteWidgetStructureBuilderVersion=1.251.0&siteId=f10d5551-9976-4ee2-8907-f3ac83f4e4bc&siteRevision=124&staticHTMLComponentUrl=https%3A%2F%2Fwww-alkecafe-co.filesusr.com%2F&useSandboxInHTMLComp=false&viewMode=desktop,,,,"Mo,Th 15:00-24:30; Tu 15:00-22:00; We 15:00-23:00; Fr-Sa 15:00-01:30; Su 09:00-22:00","https://www.google.com/maps/search/?api=1&query=40.80034,-73.95498",alke-cafe
,,,,columbia,Amy Ruth's,restaurant,+1 212-280-8779,,http://amyruths.com,,,,,,,"Mo-Th 11:30-21:30; Fr, Sa 11:00-22:30; Su 11:00-21:30","https://www.google.com/maps/search/?api=1&query=40.80246,-73.95023",amy-ruth-s
,,,,columbia,Anar,restaurant,+1 -212-366-9888,anardelivery@gmail.com,https://www.anaronline.com,,,,,,,"Mo-Su 11:30-14:45,17:00-21:45","https://www.google.com/maps/search/?api=1&query=40.80021,-73.96563",anar
,,,,columbia,Angel of Harlem,restaurant,+1-347-316-0350,,,,,,,,,We-Th 16:00-24:00; Fr 16:00-01:00; Sa 11:00-01:00; Su 11:00-12:00,"https://www.google.com/maps/search/?api=1&query=40.80806,-73.95248",angel-of-harlem
,,,,columbia,Atlas Kitchen,restaurant,+1-646-928-0522,,https://www.atlaskitchennyc.com,,,,,,,Mo-Su 11:30-22:00,"https://www.google.com/maps/search/?api=1&query=40.80329,-73.96676",atlas-kitchen
,,,,columbia,Awash,restaurant,+1 212-961-1416,,,,,,,,,12:45-22:30,"https://www.google.com/maps/search/?api=1&query=40.80069,-73.96528",awash
,,,,columbia,Bosino,restaurant,+16467558770,,https://bosinonyc.com,,,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.79874,-73.96733",bosino
,,,,columbia,Cafe Massawa,restaurant,+12126631800,,https://www.cafemassawa.com/,,,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,,,,Mo-Su 11:30-22:00,"https://www.google.com/maps/search/?api=1&query=40.81458,-73.95945",cafe-massawa
,,,,columbia,Café du Soleil,restaurant,+1-212-316-5000,,https://www.cafedusoleilny.com,,,,,,,Mo-We 16:00-22:00; Th-Fr 11:00-23:00; Sa 09:00-23:00; Su 09:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.8001,-73.9684",cafe-du-soleil
,,,,columbia,Cantina Taqueria,restaurant,+1-646-928-0133,,,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80275,-73.95682",cantina-taqueria
,,,,columbia,Columbia Deli & Cafe,restaurant,+1-646-410-0564,,,,,,,,,Mo-Sa 06:00-24:00; Su 06:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.81533,-73.95826",columbia-deli-cafe
,,,,columbia,Community Food & Juice,restaurant,+1 212 665 2800,,http://communityrestaurant.com,,,,,,20,Hours vary — check communityfoodandjuice.com,"https://www.google.com/maps/search/?api=1&query=40.8059,-73.9648",community-food-juice
,,,,columbia,Consuelo,restaurant,+1-646-391-1123,,https://www.cocinaconsuelonyc.com/consuelouws,,,,,,,We-Fr 17:00-22:00; Sa-Su 10:00-14:00,"https://www.google.com/maps/search/?api=1&query=40.79946,-73.96771",consuelo
,,,,columbia,Crab du Jour,restaurant,+1-212-222-0018,,https://crabdujour.com,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.81082,-73.95097",crab-du-jour
,,,,columbia,Curry King,restaurant,+16466697826,,https://currykinginc.com/,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.79953,-73.96289",curry-king
,,,,columbia,Dragon 105,restaurant,+1-646-559-9000,,https://www.dragon105ny.com,,,,,,,"Mo-Th,Su 11:00-22:00; Fr-Sa 11:30-22:30","https://www.google.com/maps/search/?api=1&query=40.79825,-73.96336",dragon-105
,,,,columbia,Dragon One,restaurant,+1-212-222-2426,,https://www.dragononeny.com,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80208,-73.95684",dragon-one
,,,,columbia,Freda's Caribbean and Soul Cuisine,restaurant,+1-917-409-3689,,,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80093,-73.96139",freda-s-caribbean-and-soul-cuisine
,,,,columbia,Happy Hot Hunan Restaurant,restaurant,+1-212-531-1768,,https://www.happyhothunanny.com,,,,,,,"Mo,Tu 11:00-22:00, We-Su 11:00-24:00","https://www.google.com/maps/search/?api=1&query=40.80139,-73.96478",happy-hot-hunan-restaurant
,,,,columbia,Harlem Pizza Co.,restaurant,+1 212-222-9889,,http://www.harlempizzaco.com/,,,,,,,Mo-Su 12:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.80282,-73.95114",harlem-pizza-co
,,,,columbia,Himalayan Curry House,restaurant,+1-212-749-7800,,,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80264,-73.96713",himalayan-curry-house
,,,,columbia,Homemade Taqueria,restaurant,+1-212-419-3866,,https://www.homemadetaqueria.com/,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80117,-73.9612",homemade-taqueria
,,,,columbia,Island Grill,restaurant,+1-917-965-2027,,,,,,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.81519,-73.95812",island-grill
,,,,columbia,Jin Ramen,restaurant,+16465592862,,https://125.jinramen.com/,,,,,,,"Mo-Su 11:30-15:30,17:00-23:00","https://www.google.com/maps/search/?api=1&query=40.81539,-73.95885",jin-ramen
,,,,columbia,Keur Coumba,restaurant,+1 212-866-1551,,,,,,,,,Sa-Th 08:30-03:00; Fr 08:30-03:30,"https://www.google.com/maps/search/?api=1&query=40.80266,-73.95073",keur-coumba
,,,,columbia,Kikoo Sushi,restaurant,+1-212-533-2211,,https://www.kikoowest.com,,,,,,,Mo 15:00-22:00; We-Su 15:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.80139,-73.96155",kikoo-sushi
,,,,columbia,Koko Wings,restaurant,+1-212-932-7722,,https://www.kokowingsnyc.com/,,,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,,,,Hours not listed — check before you go,"https://www.google.com/maps/search/?api=1&query=40.80096,-73.96735",koko-wings
,,,,columbia,Koo Thai,restaurant,+1-646-666-0448,,,,,,,,,11:30-22:00,"https://www.google.com/maps/search/?api=1&query=40.79839,-73.96324",koo-thai
,,,,nyu,Bar Bianchi,restaurant,+1-646-490-6004,,https://www.barbianchinyc.com/,yes,yes,https://www.barbianchinyc.com/group-dining,pm—11pm MENU RESERVATIONS DELIVERY! CONTACT PRESS INSTAGRAM PRIVATE EVENTS GROUP DINING (8–24 guests) GIFT CARDS 135 Avenue A Across f,,,"Mo 17:00-23:00, Tu-We 17:00-24:00, Th 17:00-01:00, Fr 16:00-01:00, Sa 12:00-01:00, Su 12:00-23:00","https://www.google.com/maps/search/?api=1&query=40.72251,-73.98629",nyu-bar-bianchi
,,,,nyu,Cowgirl,restaurant,+1-212-633-1133,,https://cowgirlnyc.com/,yes,yes,https://cowgirlnyc.com/privatedining,"Cowgirl NYC Contact, Hours, Reservations & DELIVERY Menus Private Parties & Catering Merch Photo Gallery PRESS Cowgirl Hall of Fame n",,,"Mo-Th, Su 10:00-23:00; Fr, Sa 10:00-00:00","https://www.google.com/maps/search/?api=1&query=40.73382,-74.00646",nyu-cowgirl
,,,,nyu,Don Angie,restaurant,+1 212-889-8884,,https://www.donangie.com,yes,yes,https://www.donangie.com/private-events/,Don Angie Skip to main content Menus Private Events About Cookbook Shop San Sabino Location & Hours Reserve Tog,,,"Mo-We, Su 17:00-23:00; Th-Sa 17:00-24:00","https://www.google.com/maps/search/?api=1&query=40.7378,-74.00199",nyu-don-angie
,,,,nyu,Grotta Azzurra,restaurant,+1-212-925-8775,contact@bluegrotta.com,https://www.bluegrotta.com/,yes,yes,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,d people. Check it out Dine Now Pay Later Book Social Event Private Events Looking for a unique place to host your next event and impr,,,"Mo-Th, Su 08:30-23:00; Fr, Sa 08:30-23:30","https://www.google.com/maps/search/?api=1&query=40.7204,-73.997",nyu-grotta-azzurra
,,,,nyu,Katz's Delicatessen,restaurant,+1-212-254-2246,,https://www.katzsdelicatessen.com,yes,yes,https://katzsdelicatessen.com/group-reservations,& Local Delivery Catering Classic Catering On-site Carving Group Reservations Private Events Brooklyn More Our History At-Home Reheating,,,Mo-Th 08:00-22:15; Fr 08:00-24:00; Sa 00:00-24:00; Su 00:00-22:15,"https://www.google.com/maps/search/?api=1&query=40.72234,-73.98735",nyu-katz-s-delicatessen
,,,,nyu,Lucky's,restaurant,+1-212-510-8550,info@jackswifefreda.com,https://jackswifefreda.com/,recommended,yes,https://jackswifefreda.com/large-parties/,vations SOHO West Village Chelsea Union Square Williamsburg Large Parties Menu Home Pickup & Delivery Catering Press Shop Locations R,,,"We-Sa 08:30-00:00; Su 08:30-22:00; Mo, Tu 08:30-23:00","https://www.google.com/maps/search/?api=1&query=40.72212,-73.99752",nyu-lucky-s
,,,,nyu,lupe's East L.A. Kitchen,restaurant,+1 212-966-1326,lupeskitchen4@gmail.com,https://lupeskitchen.com/,yes,yes,https://tmt.spotapps.co/private-parties?spot_id=10036&callback_url=http://lupeskitchen.com/#,Group Reservations and Private Parties Group Reservations and Private Parties,,,Tu 12:00-23:00; We-Fr 12:00-24:00; Sa 11:00-11:30; Su 11:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.72368,-74.00453",nyu-lupe-s-east-l-a-kitchen
,,,,nyu,Madam Ji,restaurant,+1-212-875-1405,,https://www.madamjinyc.com/,yes,yes,https://www.madamjinyc.com/menu/birthday-and-group-dining-options,"er , Dine-In , Delivery , Takeout , Catering , Birthday And Group Dining Options . What areas do you serve? We service 154 Bleecker",,,"Mo-Fr 17:00-22:00; Sa-Su 12:00-16:00, 17:00-22:00","https://www.google.com/maps/search/?api=1&query=40.72823,-73.99955",nyu-madam-ji
,,,,nyu,MAMO,restaurant,+1 646-964-4641,info@mamonyc.com,https://www.mamonyc.com,yes,yes,https://www.mamonyc.com/book-a-party,it Back New York Soho New York Midtown Miami Shop Host Your Private Event at MAMO Restaurant! Discover exceptional private dining at,,,"Mo 12:00-15:30, 17:30-22:00; Tu 12:00-15:30, 17:30-22:30; We, Th 12:00-15:30, 17:30-23:00; Fr 12:00-15:30, 17:30-23:30; Sa 11:30-16:00, 17:30-23:30; Su 11:30-16:00, 17:30-22:00","https://www.google.com/maps/search/?api=1&query=40.72193,-74.00397",nyu-mamo
,,,,nyu,Mishka Soho,restaurant,+1 646-590-1498,mishkasoho@mishkasoho.com,https://www.mishkasoho.com,yes,yes,https://mishkasoho.com/banquets/,Desserts Special Offers & New Arrivals Extras Takeout Food Private Events Venue Rental Custom Cakes Catering Food Delivery Contact Bo,,,"Mo-Th, Su 12:00-22:00; Fr 10:00-22:00; Sa 10:00-01:00","https://www.google.com/maps/search/?api=1&query=40.72367,-74.00387",nyu-mishka-soho
,,,,nyu,Mocha Burger,restaurant,+1-212-982-3800,mochaburgernyc@gmail.com,https://mochaburger.com/,recommended,yes,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,"York, NY 10012, USA top of page Home Order Online To book a private party or an event with us please contact us mochahospitality@gmai",,,"Mo-We, Su 11:30-00:00; Th 11:30-02:00; Fr 11:30-14:30; Sa 17:30-02:00","https://www.google.com/maps/search/?api=1&query=40.72742,-73.99975",nyu-mocha-burger
,,,,nyu,noreetuh,restaurant,+1-646-892-3050,hello@noreetuh.com,https://www.noreetuh.com,yes,yes,https://www.noreetuh.com/#group-section,oreetuh Order Pick-Up/Delivery Restaurant Reservations Menu Group Dining Home Hours and Location Gift Cards Order Pick-Up/Delivery R,,,"We,Th 17:00-21:30; Fr 17:00-22:30; Sa 11:30-14:30,17:00-22:30; Su 11:30-14:30,17:00-21:00","https://www.google.com/maps/search/?api=1&query=40.72731,-73.98529",nyu-noreetuh
,,,,nyu,Peasant,restaurant,+1 212 965 9511,,https://www.peasantnyc.com,yes,yes,https://www.peasantnyc.com/private-events/,"212) 965-9511 Hours & Location Menus Preorder Whole Animals Private Events About Reservations 194 Elizabeth St, New York, NY 10012 (21",,,Tu-Th 17:00-21:30; Fr-Sa 17:00-22:30,"https://www.google.com/maps/search/?api=1&query=40.72173,-73.99441",nyu-peasant
,,,,nyu,Pera SoHo,restaurant,+1-212-878-6305,,https://www.pera-soho.com,yes,yes,https://static.parastorage.com/services/wix-thunderbolt/dist/group_7.c472a333.chunk.min.css,y through Friday from 4:30pm to 6:30pm. To contact us about Private Dining & Events please email events@pera-soho.com Blog HAPPENINGS,,,Mo-Tu 16:30-21:30; We-Fr 12:00-22:30; Sa 10:30-23:00; Su 10:30-21:30,"https://www.google.com/maps/search/?api=1&query=40.72383,-74.00337",nyu-pera-soho
,,,,nyu,RedFarm,restaurant,+1-212-792-9700,events@redfarmnyc.com,https://www.redfarmnyc.com/location/west-village/,yes,yes,,Upper West Side RedFarm | West Village Decoy Gift Cards NYC Private Dining & Events Order Online Book A Table Toggle Navigation Locati,,,"Mo-Fr 17:00-23:45; Sa 11:00-14:30, 17:00-23:45; Su 11:00-14:30, 17:00-23:00","https://www.google.com/maps/search/?api=1&query=40.73419,-74.00642",nyu-redfarm
,,,,nyu,Roey's,restaurant,+1-646-864-1200,,https://www.roeysnyc.com/,yes,yes,https://www.roeysnyc.com/large-parties/,"s slides Playing hero gallery, press to pause images slides Private Dining at Roey's Events Kit Inquire Now Kid's Pizza Parties Can ac",,,Mo-Su 17:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.73598,-74.0009",nyu-roey-s
,,,,nyu,Rosie's,restaurant,+1-212-335-0114,info@rosiesnyc.com,https://rosiesnyc.com,yes,yes,https://thebowerygroup.tripleseat.com/party_request/35394,Phone number extension Company Availability Rosie's offers large party dining within our main dining room for a maximum of 30 gues,,,Tu-Th 17:00-23:00; Fr 16:00-23:00; Sa 11:00-23:00; Su 11:00-22:00,"https://www.google.com/maps/search/?api=1&query=40.72492,-73.99066",nyu-rosie-s
,,,,nyu,San Carlo Osteria Piemonte,restaurant,+1 212-625-1212,info@sancarlonyc.com,https://www.sancarlonyc.com/,yes,yes,https://siteassets.parastorage.com/pages/pages/thunderbolt?appDefinitionIdToSiteRevision=%7B%229a5d83fd-8570-482e-81ab-cfa88942ee60%22%3A%224173%22%2C%22b278a256-2757-4f19-9313-c05c783bec92%22%3A%222377%22%2C%22869a50c8-dd38-4324-b201-e33dc0747a5f%22%3A%226%22%2C%22d90652a2-f5a1-4c7c-84c4-d4cdcc41f130%22%3A%229292%22%2C%2214271d6f-ba62-d045-549b-ab972ae1f70e%22%3A%2225%22%7D&appDefinitionIdsWithCustomCss=%5B%229a5d83fd-8570-482e-81ab-cfa88942ee60%22%5D&beckyExperiments=.DatePickerPortal%2C.DisableDocumentScrollWhenLightBoxOpen%2C.EnableCustomCSSVarsForLoginSocialBar%2C.FreemiumBannerOdeditor%2C.LoginBarEnableLoggingInStateInSSR%2C.TextInputAutoFillFix%2C.UseLoginSocialBarCustomMenu%2C.UseNestedLoginSocialBarMenuItems%2C.UseNewLoginBarDropdownMenuAlignment%2C.UseNewLoginSocialBarElementStructure%2C.UseNewLoginSocialBarMemberInitialsAvatar%2C.WixFreeSiteBannerDesktop%2C.WixFreeSiteBannerMobile%2C.a11yContrast%2C.addIdAsClassName%2C.allowWebpAvifTransforms%2C.builderBoxSizingBorderBox%2C.buttonUdp%2C.calculateCollapsibleTextLineHeightByFont%2C.dom_store%2C.dontApplyDacOverridesOnBoBApps%2C.dynamicSlots%2C.fiveGridLineStudioSkins%2C.fixFirefoxLinkBarIntrinsicSizing%2C.fixRemappedFullNameCompType%2C.imageEncodingAVIF%2C.isClassNameToRootEnabled%2C.motionTimeAnimationsCSS%2C.responsiveContainerRoleGroup%2C.sectionA11yProps%2C.shouldIgnoreWidgetsPageData%2C.shouldUseResponsiveImages%2C.svgResolver_2%2C.updateRichTextSemanticClassNamesOnCorvid%2C.useClassnameInResponsiveAppWidget%2C.useFragmentHrefForTopBottomAnchor%2C.useImageAvifFormatInNativeProGallery%2C.useResponsiveImgClassicFixed%2C.useSvgLoaderFeature%2C.useSvgLoaderFeatureOnBuilderComps%2C.useWowImageInFastGallery&blocksBuilderManifestGeneratorVersion=1.129.0&commonConfig=%7B%22siteRevision%22%3A%224%22%2C%22branchId%22%3A%22ed008ac0-2e71-4d15-bd60-cd234bbdd070%22%7D&contentType=application%2Fjson&deviceType=Other&dfCk=6&dfVersion=1.5507.0&disableStaticPagesUrlHierarchy=false&editorName=Unknown&experiments=dm_bgScrubToMotionFixer%2Cdm_masterPageVariablesQueryFixer%2Cdm_migrateOldHoverBoxToNewFixer&externalBaseUrl=https%3A%2F%2Fwww.sancarlonyc.com&fileId=5166e0cd.bundle.min&formFactor=desktop&hasTPAWorkerOnSite=false&hasUserDomainMedia=false&isBuilderComponentModel=false&isHttps=true&isInSeo=false&isMultilingualEnabled=false&isPremiumDomain=true&isTrackClicksAnalyticsEnabled=false&isUrlMigrated=true&isWixCodeOnPage=false&isWixCodeOnSite=false&language=en&languageResolutionMethod=QueryParam&metaSiteId=8a098e4d-34d8-4345-ace8-250cc4199be6&module=thunderbolt-features&originalLanguage=en&pageId=267935_5206be4bee90394a1127a293326c3c7d_3.json&pilerExperiments=specs.piler.useEditorReactComponents&quickActionsMenuEnabled=false&registryLibrariesTopology=%5B%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22wixui%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15355.0%22%7D%2C%7B%22artifactId%22%3A%22editor-elements%22%2C%22namespace%22%3A%22dsgnsys%22%2C%22url%22%3A%22https%3A%2F%2Fstatic.parastorage.com%2Fservices%2Feditor-elements%2F1.15355.0%22%7D%5D&remoteWidgetStructureBuilderVersion=1.251.0&siteId=34cb96eb-56c6-4289-b2f7-cc9d9b6759e8&siteRevision=4&staticHTMLComponentUrl=https%3A%2F%2Fwww-sancarlonyc-com.filesusr.com%2F&useSandboxInHTMLComp=false&viewMode=desktop,of amaro and grappa. WINE LIST COCKTAIL LIST RESERVATIONS & PRIVATE EVENTS Experience the warmth and flavor of Northern Italy in the h,,,"Mo-Th, Su 11:30-23:30; Fr, Sa 11:30-01:00","https://www.google.com/maps/search/?api=1&query=40.72515,-74.00222",nyu-san-carlo-osteria-piemonte
,,,,nyu,19 Cleveland,restaurant,+1-646-823-9227,,https://19cleveland.com/,yes,,,,,,Mo-Su 11:00-23:00,"https://www.google.com/maps/search/?api=1&query=40.72164,-73.99721",nyu-19-cleveland
