CHECKED (y/n),NOTES,campus,name,categories,hours,capacity,contact,look up,id
,,columbia,Corpus Christi Church,church,Mass times and visiting hours vary — check corpus-christi-nyc.org,,https://www.corpus-christi-nyc.org/,"https://www.google.com/maps/search/?api=1&query=40.81111,-73.96077",corpus-christi
,,columbia,Tom's Restaurant,group-food,Regular diner hours — no reservations needed,15,,"https://www.google.com/maps/search/?api=1&query=40.8053,-73.9645",toms-restaurant
,,columbia,Koronet Pizza,group-food,"Mon–Thu, Sun 10am–2am; Fri–Sat 10am–4am",15,https://www.koronetpizzany.com/,"https://www.google.com/maps/search/?api=1&query=40.8055,-73.9648",koronet-pizza
,,columbia,Community Food & Juice,group-food,Hours vary — check communityfoodandjuice.com,20,https://www.communityfoodandjuice.com/,"https://www.google.com/maps/search/?api=1&query=40.8059,-73.9648",community-food-juice
,,columbia,Max Soha,group-food,"Breakfast/Lunch daily 9am–4pm, Dinner daily 4–10:30pm",20,https://www.maxsoha.com/,"https://www.google.com/maps/search/?api=1&query=40.811,-73.9578",max-soha
,,nyu,Weinstein Hall,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73101,-73.995",nyu-weinstein-hall
,,nyu,Brittany Hall,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.7321,-73.9918",nyu-brittany-hall
,,nyu,Third North,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73145,-73.98798",nyu-third-north
,,nyu,Founders Hall,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73205,-73.98928",nyu-founders-hall
,,nyu,University Hall,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73371,-73.9892",nyu-university-hall
,,nyu,Palladium Hall,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73348,-73.98803",nyu-palladium-hall
,,nyu,Alumni Hall,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73013,-73.98895",nyu-alumni-hall
,,nyu,Coral Tower,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73338,-73.98671",nyu-coral-tower
,,nyu,Seventh Street Residence,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.72807,-73.98887",nyu-seventh-street-residence
,,nyu,Gramercy Green,dorm,Residential building — access restricted to residents,,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.73929,-73.98319",nyu-gramercy-green
,,nyu,Lafayette Hall,dorm,"Residential building — access restricted to residents (in Chinatown, roughly a 20-minute walk south of Washington Square)",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining.html,"https://www.google.com/maps/search/?api=1&query=40.71718,-74.0021",nyu-lafayette-hall
,,nyu,Elmer Holmes Bobst Library,"library, quiet, wifi, power","Hours vary by semester — NYU ID required for entry, visitors need a sponsored guest pass; check library.nyu.edu",,https://library.nyu.edu/locations/bobst-library/,"https://www.google.com/maps/search/?api=1&query=40.72943,-73.99722",nyu-bobst-library
,,nyu,Washington Square Park,"meet, sit-no-id","Public NYC park — open dawn to dusk generally, no ID needed",,https://www.nycgovparks.org/parks/washington-square-park,"https://www.google.com/maps/search/?api=1&query=40.73089,-73.99759",nyu-washington-square-park
,,nyu,"John A. Paulson Center (residence, athletics & recreation)","gym, dorm",Hours vary by semester — NYU ID required; check nyu.edu/paulsoncenter,,https://www.nyu.edu/life/campus-resources/paulson-center.html,"https://www.google.com/maps/search/?api=1&query=40.72658,-73.99754",nyu-paulson-center
,,nyu,Generoso Pope Catholic Center at NYU,church,Mass times and visiting hours vary — check catholic.nyu.edu,,https://www.catholic.nyu.edu/,"https://www.google.com/maps/search/?api=1&query=40.72992,-73.99817",nyu-catholic-center
,,nyu,"8th St – NYU Station (N, R, W)",subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.73033,-73.99263",nyu-subway-8th-st
,,nyu,"W 4th St – Washington Square (A, C, E, B, D, F, M)",subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.73164,-74.00099",nyu-subway-w4th
,,nyu,Astor Place (6),subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.72985,-73.99139",nyu-subway-astor-place
,,nyu,Bleecker St (6),subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.72595,-73.99468",nyu-subway-bleecker
,,nyu,"Broadway–Lafayette St (B, D, F, M)",subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.7253,-73.9962",nyu-subway-broadway-lafayette
,,nyu,"14th St – Union Square (4, 5, 6, L, N, Q, R, W)",subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.73476,-73.99054",nyu-subway-union-square
,,nyu,Christopher St – Stonewall (1),subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.73361,-74.00283",nyu-subway-christopher-st
,,nyu,"Prince St (N, R, W)",subway,Subway service runs 24/7,,,"https://www.google.com/maps/search/?api=1&query=40.72433,-73.9977",nyu-subway-prince-st
,,nyu,Rubin Hall,dorm,Residential building — access restricted to residents (35 Fifth Avenue),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.73346,-73.99501",nyu-rubin-hall
,,nyu,Lipton Hall,dorm,Residential building — access restricted to residents (33 Washington Square West),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.73163,-73.99955",nyu-lipton-hall
,,nyu,Carlyle Court,dorm,Residential building — access restricted to residents (25 Union Square West),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.73628,-73.99121",nyu-carlyle-court
,,nyu,Second Street Residence Hall,dorm,Residential building — access restricted to residents (1 East 2nd Street),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.72546,-73.99186",nyu-second-street
,,nyu,Sixth Street Residence,dorm,Residential building — access restricted to residents (200 East 6th Street),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.72813,-73.99055",nyu-sixth-street
,,nyu,Broome Street Residence,dorm,Residential building — access restricted to residents (400 Broome Street),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.72088,-73.99746",nyu-broome-street
,,nyu,Greenwich Hall,dorm,Residential building — access restricted to residents (636 Greenwich Street),,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.7313,-74.00808",nyu-greenwich-hall
,,nyu,Clark Street Residence Hall,dorm,"Residential building — access restricted to residents (55 Clark Street, Brooklyn Heights)",,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.69774,-73.99382",nyu-clark-street
,,nyu,Othmer Hall,dorm,"Residential building — access restricted to residents (101 Johnson Street, Brooklyn (Tandon campus))",,https://housing.nyu.edu/residencehalls,"https://www.google.com/maps/search/?api=1&query=40.69514,-73.98633",nyu-othmer-hall
,,nyu,"NYU Eats at Weinstein — Downstein, Upstein, Sidestein Market, Kosher Eatery",dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in Weinstein Hall, 11 University Place. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.73101,-73.995",nyu-dining-weinstein
,,nyu,NYU Eats at Third North,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in Third North, 75 Third Avenue. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.73145,-73.98798",nyu-dining-third-north
,,nyu,NYU Eats at Lipton,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in Lipton Hall, 33 Washington Square West. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.73163,-73.99955",nyu-dining-lipton
,,nyu,Marketplace at Kimmel,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in Kimmel Center for University Life, 60 Washington Square South. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.72979,-73.99787",nyu-dining-kimmel
,,nyu,Crave NYU & Cafe 181,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in Paulson Center, 181 Mercer Street. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.72658,-73.99754",nyu-dining-paulson
,,nyu,NYU Eats at Palladium,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in Palladium Hall, 140 East 14th Street. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.73331,-73.98841",nyu-dining-palladium
,,nyu,UHall Commons Café,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in University Hall, 110 East 14th Street. Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.73371,-73.9892",nyu-dining-uhall
,,nyu,Café 370,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in 370 Jay Street, Brooklyn (Tandon campus). Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.69278,-73.98756",nyu-dining-cafe-370
,,nyu,Jasper Kane Café & Bridgeview Bytes,dining,"Hours vary by semester — NYU ID and meal plan or Dining Dollars required; in 6 MetroTech Center, Brooklyn (Tandon campus). Check nyu.edu/dining",,https://www.nyu.edu/students/student-information-and-resources/housing-and-dining/dining.html,"https://www.google.com/maps/search/?api=1&query=40.69454,-73.98679",nyu-dining-jasper-kane
